"basin_id","biogeographic_realm","Ecoregion"
"B2691","Sinchol.li","Palearctic"
"B2692","Sinchon.josuji","Palearctic"
"B2693","Singkep.Island","Indomalayan"
"B2694","Sinimodera.Oya","Indomalayan"
"B2695","Sinnamary","Neotropic"
"B2696","Sinni","Palearctic"
"B2697","Sinos","Neotropic"
"B2698","Sinpyong.chon","Palearctic"
"B2699","Sinri.Sen","Palearctic"
"B2700","Sinu","Neotropic"
"B2701","Sirjan","Palearctic"
"B2702","Sistan","Palearctic"
"B2703","Sita.River","Indomalayan"
"B2704","Sita.Swarna","Indomalayan"
"B2705","Sittang","Indomalayan"
"B2706","Sittee","Neotropic"
"B2707","Siuslaw","Nearctic"
"B2708","Sixaola","Neotropic"
"B2709","Skagit","Nearctic"
"B2710","Skeena","Nearctic"
"B2711","Skeleton.creek","Australasia"
"B2712","Skjern.aa","Palearctic"
"B2713","Skokomish","Nearctic"
"B2714","Slavnaya","Palearctic"
"B2715","Sleeper.Log.creek","Australasia"
"B2716","Slupia","Palearctic"
"B2717","Smith","Nearctic"
"B2718","Snohomish","Nearctic"
"B2719","Snowy","Australasia"
"B2720","So","Afrotropic"
"B2721","Sobu.josuji","Palearctic"
"B2722","Soca","Palearctic"
"B2723","Soda.lake","Nearctic"
"B2724","Sogumgang","Palearctic"
"B2725","Sojung.chon","Palearctic"
"B2726","Solo","Indomalayan"
"B2727","Solteros","Neotropic"
"B2728","Somalia","Afrotropic"
"B2729","Somme","Palearctic"
"B2730","Somsok.chon","Palearctic"
"B2731","Sonaktong.gang","Palearctic"
"B2732","Sondagsrivier","Afrotropic"
"B2733","Sondang.mot","Palearctic"
"B2734","Song.chon","Palearctic"
"B2735","Song.Hong","Indomalayan"
"B2736","Song.Lam","Indomalayan"
"B2737","Song.Ma","Indomalayan"
"B2738","Songam.josuji","Palearctic"
"B2739","Songdong.ni","Palearctic"
"B2740","Songji.ri","Palearctic"
"B2741","Songkhla.Lake","Indomalayan"
"B2742","Sonora","Nearctic"
"B2743","Sonoyta","Nearctic"
"B2744","Sonso.ri","Palearctic"
"B2745","Soonda.Oja","Palearctic"
"B2746","Sopochnoye","Palearctic"
"B2747","Sopotchnaia","Palearctic"
"B2748","Soppan.nae","Palearctic"
"B2749","Sorell","Australasia"
"B2750","Soreq","Palearctic"
"B2751","Soru","Palearctic"
"B2752","Sosangni.po","Palearctic"
"B2753","Soto.la.Marina","Neotropic"
"B2754","Soumba","Afrotropic"
"B2755","Soummam","Palearctic"
"B2756","Sous","Palearctic"
"B2757","South.Alligator","Australasia"
"B2758","South.Johnstone","Australasia"
"B2759","South.Stann","Neotropic"
"B2760","Sperchios","Palearctic"
"B2761","Spey","Palearctic"
"B2762","Splinter.creek","Australasia"
"B2763","Spring.creek","Australasia"
"B2764","Sredney","Palearctic"
"B2765","Ssaryeom","Palearctic"
"B2766","St.Lucia","Neotropic"
"B2767","Stadara.Steingrimsfirdi","Palearctic"
"B2768","Station.creek","Australasia"
"B2769","Stewart.1","Australasia"
"B2770","Stikine","Nearctic"
"B2771","Stillaguamish","Nearctic"
"B2772","Stoney","Nearctic"
"B2773","Stony.creek","Australasia"
"B2774","Stour","Palearctic"
"B2775","Strymon","Palearctic"
"B2776","Sturt","Australasia"
"B2777","Styx","Australasia"
"B2778","Subarnarekha","Indomalayan"
"B2779","Suchiate","Neotropic"
"B2780","Suifen","Palearctic"
"B2781","Sulawesi.Selatan","Australasia"
"B2782","Sulphur.Springs.valley","Nearctic"
"B2783","Sulu","Indomalayan"
"B2784","Sumjin","Palearctic"
"B2785","Sungai.Aiduna","Australasia"
"B2786","Sungai.Aikwa","Australasia"
"B2787","Sungai.Batu.Asah","Indomalayan"
"B2788","Sungai.Bedidi","Australasia"
"B2789","Sungai.Biri","Australasia"
"B2790","Sungai.Davur","Australasia"
"B2791","Sungai.Gurun","Indomalayan"
"B2792","Sungai.Kamora","Australasia"
"B2793","Sungai.Kamundan","Australasia"
"B2794","Sungai.Kinarom","Indomalayan"
"B2795","Sungai.Kisap","Indomalayan"
"B2796","Sungai.Kubang.Badak","Indomalayan"
"B2797","Sungai.Kumbe","Australasia"
"B2798","Sungai.Limbong","Indomalayan"
"B2799","Sungai.Merbok","Indomalayan"
"B2800","Sungai.Muturi","Australasia"
"B2801","Sungai.Rittowe","Australasia"
"B2802","Sungai.Sentiung","Indomalayan"
"B2803","Sungai.Singkir","Indomalayan"
"B2804","Sungai.Sisiah.Creek","Australasia"
"B2805","Sungai.Titi.Lubuk.Panjang","Indomalayan"
"B2806","Sungai.Tok.Puteri","Indomalayan"
"B2807","Sungai.Tor","Australasia"
"B2808","Sungai.Wiriagar","Australasia"
"B2809","Sungai.Wiru","Australasia"
"B2810","Sungei.Iga","Indomalayan"
"B2811","Sungei.Pinyuh","Indomalayan"
"B2812","Sungei.Wain","Indomalayan"
"B2813","Suo.chon","Palearctic"
"B2814","Supsa","Palearctic"
"B2815","Surinam","Neotropic"
"B2816","Surrey","Australasia"
"B2817","Susan.chon","Palearctic"
"B2818","Susitna","Nearctic"
"B2819","Susquehanna","Nearctic"
"B2820","Susurluk.Cayi","Palearctic"
"B2821","Suuremoisa","Palearctic"
"B2822","Suurissoo","Palearctic"
"B2823","Suva","Oceania"
"B2824","Suwannee","Nearctic"
"B2825","Suzuka","Palearctic"
"B2826","Svobodnaya","Palearctic"
"B2827","Swakop","Afrotropic"
"B2828","Swan","Australasia"
"B2829","Swan.Tasma","Australasia"
"B2830","Swartkopsrivier","Afrotropic"
"B2831","Swartrivier","Afrotropic"
"B2832","Syr.Darya","Palearctic"
"B2833","Ta.Fu.Lake","Palearctic"
"B2834","Taan","Indomalayan"
"B2835","Tabasara","Neotropic"
"B2836","Tabou","Afrotropic"
"B2837","Tachia","Indomalayan"
"B2838","Tacina","Palearctic"
"B2839","Tadu","Indomalayan"
"B2840","Taedong","Palearctic"
"B2841","Taegok.che","Palearctic"
"B2842","Taehwagang","Palearctic"
"B2843","Taesong.josuji","Palearctic"
"B2844","Tagliamento","Palearctic"
"B2845","Tagus","Palearctic"
"B2846","Tahaa","Oceania"
"B2847","Tahakopa","Australasia"
"B2848","Tahiti.un.1","Oceania"
"B2849","Tahiti.un.2","Oceania"
"B2850","Tahiti.un.3","Oceania"
"B2851","Taieri","Australasia"
"B2852","Taimyr","Palearctic"
"B2853","Taipa","Australasia"
"B2854","Tairua","Australasia"
"B2855","Taiyang.He","Indomalayan"
"B2856","Tajan","Palearctic"
"B2857","Takahashi.Okayama","Palearctic"
"B2858","Takaka","Australasia"
"B2859","Takamprimili","Australasia"
"B2860","Takase","Palearctic"
"B2861","Takasu","Palearctic"
"B2862","Takatsu","Palearctic"
"B2863","Takiritawai","Australasia"
"B2864","Takoandra","Afrotropic"
"B2865","Taku","Nearctic"
"B2866","Talas.River","Palearctic"
"B2867","Tallebudgera.creek","Australasia"
"B2868","Talovka","Palearctic"
"B2869","Tama","Palearctic"
"B2870","Tama.Indonesia","Australasia"
"B2871","Tamar","Australasia"
"B2872","Tambre","Palearctic"
"B2873","Tamiahua","Neotropic"
"B2874","Tamiang","Indomalayan"
"B2875","Tamiraparani","Indomalayan"
"B2876","Tamshui","Indomalayan"
"B2877","Tana","Afrotropic"
"B2878","Tana.lake","Afrotropic"
"B2879","Tanaba","Palearctic"
"B2880","Tandiadi.Aar","Indomalayan"
"B2881","Tangahoe","Australasia"
"B2882","Tanganyika","Afrotropic"
"B2883","Tangdu.ri","Palearctic"
"B2884","Tangjong.josuji","Palearctic"
"B2885","Tangmi","Palearctic"
"B2886","Taninnim","Palearctic"
"B2887","Tanintharyi","Indomalayan"
"B2888","Tanintharyi.River","Indomalayan"
"B2889","Tanjiang","Indomalayan"
"B2890","Tano","Afrotropic"
"B2891","Tapdong.ni","Palearctic"
"B2892","Tapi","Indomalayan"
"B2893","Tar","Nearctic"
"B2894","Tar.Ju","Indomalayan"
"B2895","Tara.creek","Australasia"
"B2896","Tarago","Australasia"
"B2897","Taramakau","Australasia"
"B2898","Tarapaca","Neotropic"
"B2899","Taravo","Palearctic"
"B2900","Tarcoles","Neotropic"
"B2901","Tarim","Palearctic"
"B2902","Tarra","Australasia"
"B2903","Tarrabool.lake","Australasia"
"B2904","Tarut.Bay","Afrotropic"
"B2905","Tarwin","Australasia"
"B2906","Tassili","Palearctic"
"B2907","Tataragawa","Palearctic"
"B2908","Tategami.un.1","Palearctic"
"B2909","Tategami.un.2","Palearctic"
"B2910","Tauro","Neotropic"
"B2911","Taute","Palearctic"
"B2912","Tauton","Nearctic"
"B2913","Tavignano","Palearctic"
"B2914","Tay","Palearctic"
"B2915","Taz","Palearctic"
"B2916","Tchad","Afrotropic"
"B2917","Tchegitun","Palearctic"
"B2918","Te.Awa.Kairangi","Australasia"
"B2919","Te.Awainanga","Australasia"
"B2920","Tech","Palearctic"
"B2921","Tecolutla","Neotropic"
"B2922","Tees","Palearctic"
"B2923","Tehuantepec","Neotropic"
"B2924","Teifi","Palearctic"
"B2925","Tekek","Indomalayan"
"B2926","Tellaro","Palearctic"
"B2927","Telwatta.Ganga","Indomalayan"
"B2928","Temash","Neotropic"
"B2929","Temburong.Belalong","Indomalayan"
"B2930","Tempasuk","Indomalayan"
"B2931","Tempisque","Neotropic"
"B2932","Tenasserim","Indomalayan"
"B2933","Tenggaroh.River","Indomalayan"
"B2934","Tengqiao.Dong.He","Indomalayan"
"B2935","Tenjin","Palearctic"
"B2936","Tenna","Palearctic"
"B2937","Tenryu","Palearctic"
"B2938","Tensift","Palearctic"
"B2939","Ter","Palearctic"
"B2940","Terek","Palearctic"
"B2941","Terengganu","Indomalayan"
"B2942","Terraba","Neotropic"
"B2943","Teshio","Palearctic"
"B2944","Tet","Palearctic"
"B2945","Tevere","Palearctic"
"B2946","Tha.Chin","Indomalayan"
"B2947","Thames.UK","Palearctic"
"B2948","Thames.USA","Nearctic"
"B2949","Thelon","Nearctic"
"B2950","Thio","Australasia"
"B2951","Thjorsa","Palearctic"
"B2952","Thlewiasa","Nearctic"
"B2953","Thomas","Australasia"
"B2954","Thompson","Australasia"
"B2955","Thompson.creek","Australasia"
"B2956","Thu.Bon","Indomalayan"
"B2957","Thumpankeni.Tank","Indomalayan"
"B2958","Thurra","Australasia"
"B2959","Tiaoxi.River","Palearctic"
"B2960","Tigil","Palearctic"
"B2961","Tikhaya","Palearctic"
"B2962","Timor.Island","Australasia"
"B2963","Tingalpa.creek","Australasia"
"B2964","Tingwall","Palearctic"
"B2965","Tirtsi","Palearctic"
"B2966","Tiskre","Palearctic"
"B2967","Tite.River","Australasia"
"B2968","Titicaca","Neotropic"
"B2969","Titiroa","Australasia"
"B2970","Tiwaka","Australasia"
"B2971","Tiwi","Australasia"
"B2972","Tlachimala","Neotropic"
"B2973","Tocantins","Neotropic"
"B2974","Tocuyo","Neotropic"
"B2975","Todje","Afrotropic"
"B2976","Togun","Palearctic"
"B2977","Togyang.ni","Palearctic"
"B2978","Tokachi","Palearctic"
"B2979","Tokai","Palearctic"
"B2980","Tokigawa.River","Palearctic"
"B2981","Tokomairiro","Australasia"
"B2982","Tolten","Neotropic"
"B2983","Tomaga","Australasia"
"B2984","Tomahawk","Australasia"
"B2985","Tompire","Neotropic"
"B2986","Tonala","Neotropic"
"B2987","Tonbetsu","Palearctic"
"B2988","Tonda","Palearctic"
"B2989","Tone","Palearctic"
"B2990","Tonekabon","Palearctic"
"B2991","Tong","Palearctic"
"B2992","Tonggimnyong","Palearctic"
"B2993","Tongil.li","Palearctic"
"B2994","Tonija","Palearctic"
"B2995","Tonje.ri","Palearctic"
"B2996","Tonji","Palearctic"
"B2997","Tontouta","Australasia"
"B2998","Toolse","Palearctic"
"B2999","Toomuc.creek","Australasia"
"B3000","Topobulu","Australasia"
"B3001","Torbay","Australasia"
"B3002","Tornealven","Palearctic"
"B3003","Tortugas","Nearctic"
"B3004","Totumo.Lake","Neotropic"
"B3005","Touchien","Indomalayan"
"B3006","Tougur","Palearctic"
"B3007","Touloubre","Palearctic"
"B3008","Touques","Palearctic"
"B3009","Tovarua","Australasia"
"B3010","Towamba","Australasia"
"B3011","Towns","Australasia"
"B3012","Towon.Josuji","Palearctic"
"B3013","Towuti","Australasia"
"B3014","Tra.Khuc","Indomalayan"
"B3015","Tram","Indomalayan"
"B3016","Trang","Indomalayan"
"B3017","Tranquebar","Indomalayan"
"B3018","Transquaking","Nearctic"
"B3019","Trat","Indomalayan"
"B3020","Trent.Aus","Australasia"
"B3021","Trent.UK","Palearctic"
"B3022","Tres.Arroyos","Neotropic"
"B3023","Trieux","Palearctic"
"B3024","Trigno","Palearctic"
"B3025","Triigi.Sadam","Palearctic"
"B3026","Trinity","Nearctic"
"B3027","Trinity.Inlet","Australasia"
"B3028","Truckee","Nearctic"
"B3029","Tsengwen","Indomalayan"
"B3030","Tsurumi","Palearctic"
"B3031","Tuam.josuji","Palearctic"
"B3032","Tubarao","Neotropic"
"B3033","Tubuai","Oceania"
"B3034","Tucacas1","Neotropic"
"B3035","Tucacas2","Neotropic"
"B3036","Tucacas3","Neotropic"
"B3037","Tuchon.chon","Palearctic"
"B3038","Tugela","Afrotropic"
"B3039","Tuhai.Majia.He","Palearctic"
"B3040","Tuira","Neotropic"
"B3041","Tukad.Unda","Indomalayan"
"B3042","Tukituki","Australasia"
"B3043","Tully.Murray","Australasia"
"B3044","Tulufan","Palearctic"
"B3045","Tulum","Neotropic"
"B3046","Tumbez","Neotropic"
"B3047","Tumen","Palearctic"
"B3048","Tunaicha","Palearctic"
"B3049","Tunisia.un","Palearctic"
"B3050","Tupukas.River","Australasia"
"B3051","Turakina","Australasia"
"B3052","Turama","Australasia"
"B3053","Turanganui","Australasia"
"B3054","Turia","Palearctic"
"B3055","Turiacu.River","Neotropic"
"B3056","Turkana","Afrotropic"
"B3057","Turmero.River","Neotropic"
"B3058","Turner","Australasia"
"B3059","Tuross","Australasia"
"B3060","Tuticorin","Indomalayan"
"B3061","Tutong","Indomalayan"
"B3062","Tutuila.Island","Oceania"
"B3063","Tuudi","Palearctic"
"B3064","Tuxpan","Neotropic"
"B3065","Tuy","Neotropic"
"B3066","Tuz","Palearctic"
"B3067","Tweed.Aus","Australasia"
"B3068","Tweed.UK","Palearctic"
"B3069","Tyne","Palearctic"
"B3070","Ua.Huka1","Oceania"
"B3071","Ua.Huka2","Oceania"
"B3072","Ua.Pou1","Oceania"
"B3073","Ua.Pou2","Oceania"
"B3074","Uaso.Nyiro.River","Afrotropic"
"B3075","Ubatiba","Neotropic"
"B3076","Uda","Palearctic"
"B3077","Udobnaya","Palearctic"
"B3078","Uisin.chon","Palearctic"
"B3079","Ulja","Palearctic"
"B3080","Ulla","Palearctic"
"B3081","Ulua","Neotropic"
"B3082","Ulungur","Palearctic"
"B3083","Umbuluzi.River","Afrotropic"
"B3084","Umealven","Palearctic"
"B3085","uMngeni","Afrotropic"
"B3086","Umpqua","Nearctic"
"B3087","Unare","Neotropic"
"B3088","Ungdong.man","Palearctic"
"B3089","Unjon.josuji","Palearctic"
"B3090","Upolu.Island","Oceania"
"B3091","Uppala","Indomalayan"
"B3092","Ural","Palearctic"
"B3093","Urama","Neotropic"
"B3094","Uramura.un","Palearctic"
"B3095","Uranchab","Palearctic"
"B3096","Urbina","Neotropic"
"B3097","Urubokka.Oya","Indomalayan"
"B3098","Uruguay","Neotropic"
"B3099","Usumacinta","Neotropic"
"B3100","Vaana","Palearctic"
"B3101","Vado.Ancho","Neotropic"
"B3102","Vage.River","Australasia"
"B3103","Vailala","Australasia"
"B3104","Vainupea","Palearctic"
"B3105","Vaiste.Laht","Palearctic"
"B3106","Valapattanam","Indomalayan"
"B3107","Valcheta","Neotropic"
"B3108","Valdivia","Neotropic"
"B3109","Valgejogi","Palearctic"
"B3110","Valkla","Palearctic"
"B3111","Valle","Palearctic"
"B3112","Valle.de.Mexico","Neotropic"
"B3113","Vamanapuram","Indomalayan"
"B3114","Van","Palearctic"
"B3115","Vanajogi","Palearctic"
"B3116","Vanikoro.Island","Australasia"
"B3117","Var","Palearctic"
"B3118","Vargas.creek","Nearctic"
"B3119","Vasalemma","Palearctic"
"B3120","Vashon.Island","Nearctic"
"B3121","Vasiku","Palearctic"
"B3122","Vasse","Australasia"
"B3123","Vatnsdalsa","Palearctic"
"B3124","Ve","Indomalayan"
"B3125","Vefsna","Palearctic"
"B3126","Vega","Palearctic"
"B3127","Veleka","Palearctic"
"B3128","Vellar","Indomalayan"
"B3129","Vem","Indomalayan"
"B3130","Venetian","Palearctic"
"B3131","Ventura","Nearctic"
"B3132","Verde","Neotropic"
"B3133","Verlorenvlei","Afrotropic"
"B3134","Verulam","Afrotropic"
"B3135","Vesturdalsa","Palearctic"
"B3136","Vett.Aru","Indomalayan"
"B3137","Victoria","Australasia"
"B3138","Victoria.lake","Afrotropic"
"B3139","Vidaa","Palearctic"
"B3140","Vididalsa.Fitja","Palearctic"
"B3141","Vignola","Palearctic"
"B3142","Vihterpalu","Palearctic"
"B3143","Vilaine","Palearctic"
"B3144","Vilanandro.River","Afrotropic"
"B3145","Vinh.Tanh","Indomalayan"
"B3146","Vire","Palearctic"
"B3147","Viskan","Palearctic"
"B3148","Vistre","Palearctic"
"B3149","Vizagapatnam","Indomalayan"
"B3150","Vlamingh","Australasia"
"B3151","Volga","Palearctic"
"B3152","Volta","Afrotropic"
"B3153","Volturno","Palearctic"
"B3154","Vonnu","Palearctic"
"B3155","Voronia","Palearctic"
"B3156","Vosu","Palearctic"
"B3157","Vouga","Palearctic"
"B3158","Vung.Bau","Indomalayan"
"B3159","Vyvenka","Palearctic"
"B3160","Waanje","Afrotropic"
"B3161","Waccasassa","Nearctic"
"B3162","Wadi.ad.Dawasir","Afrotropic"
"B3163","Wadi.al.Bahr","Afrotropic"
"B3164","Wadi.al.Hamd","Afrotropic"
"B3165","Wadi.al.Qabaili","Palearctic"
"B3166","Wadi.Bani.Khalid","Afrotropic"
"B3167","Wadi.Fayah","Afrotropic"
"B3168","Wadi.Fayd","Afrotropic"
"B3169","Wadi.Hadramaut","Afrotropic"
"B3170","Wadi.Halfain","Afrotropic"
"B3171","Wadi.Ham","Afrotropic"
"B3172","Wadi.Hatta","Afrotropic"
"B3173","Wadi.Jizzi","Afrotropic"
"B3174","Wadi.Khulais","Afrotropic"
"B3175","Wadi.Madha","Afrotropic"
"B3176","Wadi.Maur","Afrotropic"
"B3177","Wadi.Qwar","Afrotropic"
"B3178","Wadi.SA","Afrotropic"
"B3179","Wadi.Sharm","Afrotropic"
"B3180","Wadi.Shawkah","Afrotropic"
"B3181","Wadi.Zikt","Afrotropic"
"B3182","Wai Bian","Australasia"
"B3183","Waianakarua","Australasia"
"B3184","Waiapu","Australasia"
"B3185","Waiatoto","Australasia"
"B3186","Waiau","Australasia"
"B3187","Waiau.2","Australasia"
"B3188","Waigeo","Australasia"
"B3189","Waihao","Australasia"
"B3190","Waiho","Australasia"
"B3191","Waihopai","Australasia"
"B3192","Waihou","Australasia"
"B3193","Waikanae","Australasia"
"B3194","Waikari","Australasia"
"B3195","Waikato","Australasia"
"B3196","Waikawa","Australasia"
"B3197","Waikou","Australasia"
"B3198","Waikouaiti","Australasia"
"B3199","Waima","Australasia"
"B3200","Waimai","Australasia"
"B3201","Waimakariri","Australasia"
"B3202","Waimamaku","Australasia"
"B3203","Waimatuku","Australasia"
"B3204","Waimea","Australasia"
"B3205","Wainui","Australasia"
"B3206","Waioeka","Australasia"
"B3207","Waiongana","Australasia"
"B3208","Waiotahi","Australasia"
"B3209","Waipaoa","Australasia"
"B3210","Waipara","Australasia"
"B3211","Waipoua","Australasia"
"B3212","Waipu","Australasia"
"B3213","Wairau","Australasia"
"B3214","Wairaurahiri","Australasia"
"B3215","Waireka","Australasia"
"B3216","Wairoa.1","Australasia"
"B3217","Wairoa.2","Australasia"
"B3218","Wairoa.3","Australasia"
"B3219","Waita","Australasia"
"B3220","Waitaha","Australasia"
"B3221","Waitahanui","Australasia"
"B3222","Waitakaruru","Australasia"
"B3223","Waitaki","Australasia"
"B3224","Waitangi","Australasia"
"B3225","Waitangitaona","Australasia"
"B3226","Waitara","Australasia"
"B3227","Waitiki","Australasia"
"B3228","Waitotara","Australasia"
"B3229","Waituna.creek","Australasia"
"B3230","Waitutu","Australasia"
"B3231","Waiwawa","Australasia"
"B3232","Walawe.Ganga","Indomalayan"
"B3233","Walkabout.creek","Australasia"
"B3234","Walker.Aus","Australasia"
"B3235","Walker.USA","Nearctic"
"B3236","Wami.River","Afrotropic"
"B3237","Wandandian.creek","Australasia"
"B3238","Wanganui","Australasia"
"B3239","Wanganui.2","Australasia"
"B3240","Wanglou.He","Indomalayan"
"B3241","Wanquan","Indomalayan"
"B3242","Wapoga","Australasia"
"B3243","Warenai","Australasia"
"B3244","Warner.valley","Nearctic"
"B3245","Warren","Australasia"
"B3246","Warrigal.creek","Australasia"
"B3247","Warunta","Neotropic"
"B3248","Watchie.Swamp","Australasia"
"B3249","Water.Park.creek","Australasia"
"B3250","Wattle.Hill.creek","Australasia"
"B3251","Waverley.creek","Australasia"
"B3252","Wawa","Neotropic"
"B3253","Wawoi","Australasia"
"B3254","Wayan.River","Indomalayan"
"B3255","Wear","Palearctic"
"B3256","Wearyan","Australasia"
"B3257","Welcome","Australasia"
"B3258","Wen.He","Palearctic"
"B3259","Wenlock","Australasia"
"B3260","Werribee","Australasia"
"B3261","Wes.Kleinemonderivier","Afrotropic"
"B3262","Weser","Palearctic"
"B3263","West.Alligator","Australasia"
"B3264","West.lakes","Australasia"
"B3265","West.New.Britain","Australasia"
"B3266","West.river","Nearctic"
"B3267","Western.creek","Australasia"
"B3268","Weze.River","Afrotropic"
"B3269","Whakatane","Australasia"
"B3270","Whangaehu","Australasia"
"B3271","Whangaparaoa","Australasia"
"B3272","Wharekahika","Australasia"
"B3273","Whataroa","Australasia"
"B3274","White.Woman.creek","Nearctic"
"B3275","Whitewater","Nearctic"
"B3276","Whompoe","Indomalayan"
"B3277","Wicomico","Nearctic"
"B3278","Wila.Oya","Indomalayan"
"B3279","Wildman","Australasia"
"B3280","Winapsonggae","Palearctic"
"B3281","Wingan","Australasia"
"B3282","Wisla","Palearctic"
"B3283","Withlacoochee","Nearctic"
"B3284","Woleu","Afrotropic"
"B3285","Wolga.je","Palearctic"
"B3286","Wollae","Palearctic"
"B3287","Wolli.creek","Australasia"
"B3288","Wolp.yong","Palearctic"
"B3289","Wombat.creek","Australasia"
"B3290","Wonboyn","Australasia"
"B3291","Wood","Nearctic"
"B3292","Woodlark.Island","Australasia"
"B3293","Wooli.Wooli","Australasia"
"B3294","Woomera.creek","Australasia"
"B3295","Wooramel","Australasia"
"B3296","Wouri","Afrotropic"
"B3297","Woyla","Indomalayan"
"B3298","Wuerhe.He","Palearctic"
"B3299","Wulagai","Palearctic"
"B3300","Wulumuqi","Palearctic"
"B3301","Wye","Palearctic"
"B3302","Wyong","Australasia"
"B3303","Xanthos","Palearctic"
"B3304","Xiaoling.He","Palearctic"
"B3305","Xingcheng.He","Palearctic"
"B3306","Yakati","Australasia"
"B3307","Yalu","Palearctic"
"B3308","Yan.Oya","Indomalayan"
"B3309","Yana","Palearctic"
"B3310","Yang","Palearctic"
"B3311","Yanggil.li","Palearctic"
"B3312","Yangpo.hang","Palearctic"
"B3313","Yangsan","Palearctic"
"B3314","Yangtse","Palearctic"
"B3315","Yapen.Island","Australasia"
"B3316","Yaqui","Nearctic"
"B3317","Yaracuy","Neotropic"
"B3318","Yarquon","Palearctic"
"B3319","Yarra","Australasia"
"B3320","Yate","Australasia"
"B3321","Yateras","Neotropic"
"B3322","Yelcho","Neotropic"
"B3323","Yellow","Nearctic"
"B3324","Yellow.Gin.creek","Australasia"
"B3325","Yenice","Palearctic"
"B3326","Yenisey","Palearctic"
"B3327","Yesilirmak","Palearctic"
"B3328","Yewa","Afrotropic"
"B3329","Yi.Shu.He","Palearctic"
"B3330","Yingna.He","Palearctic"
"B3331","Yiti","Afrotropic"
"B3332","Yok","Palearctic"
"B3333","Yondung.chon","Palearctic"
"B3334","Yoneshiro","Palearctic"
"B3335","Yongdae.josuji","Palearctic"
"B3336","Yonghae.gang","Palearctic"
"B3337","Yongjiang","Indomalayan"
"B3338","Yongjon.josuji","Palearctic"
"B3339","Yongju.josuji","Palearctic"
"B3340","Yongp.o","Palearctic"
"B3341","York.Can","Nearctic"
"B3342","York.USA","Nearctic"
"B3343","Yoshii.Okayama","Palearctic"
"B3344","Yosul.bangjuk","Palearctic"
"B3345","Young","Australasia"
"B3346","Yudong.josuji","Palearctic"
"B3347","Yui","Palearctic"
"B3348","Yukon","Nearctic"
"B3349","Yule","Australasia"
"B3350","Zambezi","Afrotropic"
"B3351","Zamboanga","Indomalayan"
"B3352","Zarrine","Palearctic"
"B3353","Zerout","Palearctic"
"B3354","Zhoushan.Island","Indomalayan"
"B3355","Zhubijiang","Indomalayan"
"B3356","Zhujiang","Indomalayan"
"B3357","Ziatine","Palearctic"
"B3358","Zimatlan","Neotropic"
"B3359","Zingwe.Zingwe.River","Afrotropic"
"B3360","Zio","Afrotropic"
"B3361","Ziway.Hayk","Afrotropic"
"B3362","Zohreh","Palearctic"
"B3363","Zotsha","Afrotropic"
"B3364","Zrmanja","Palearctic"
